#{"t_start": 1611507036.5264316, "env_id": "Acrobot-v1"}
r,l,t
-495.0,496,7.278556
-500.0,500,14.484797
-334.0,335,18.950524
-232.0,233,21.132011
-233.0,234,23.3078
-177.0,178,24.345995
-121.0,122,26.129172
-183.0,184,26.737256
-130.0,131,28.559535
-118.0,119,29.389081
-124.0,125,31.169769
-126.0,127,31.593645
-125.0,126,33.411045
-219.0,220,36.04633
-114.0,115,36.432699
-93.0,94,38.130556
-125.0,126,38.550399
-87.0,88,38.841278
-96.0,97,40.535862
-90.0,91,40.839485
-103.0,104,43.07075
-106.0,107,43.432391
-98.0,99,43.76077
-93.0,94,45.4642
-84.0,85,45.749055
-90.0,91,46.053415
-93.0,94,48.245641
-82.0,83,48.531922
-76.0,77,48.797706
-83.0,84,50.45451
-99.0,100,50.796561
-221.0,222,52.939228
-99.0,100,53.70147
-83.0,84,55.35021
-77.0,78,55.614253
-63.0,64,55.827092
-81.0,82,57.462165
-80.0,81,57.735835
-167.0,168,60.099794
-88.0,89,60.393168
-90.0,91,60.698709
-82.0,83,62.32982
-65.0,66,62.546719
-76.0,77,62.804652
-78.0,79,63.064274
-169.0,170,65.47123
-88.0,89,65.776292
-91.0,92,67.458658
-75.0,76,67.712316
-88.0,89,68.002543
-99.0,100,69.691319
-63.0,64,69.905577
-92.0,93,70.70112
-79.0,80,72.33789
-89.0,90,72.636239
-75.0,76,72.892892
-88.0,89,74.556224
-62.0,63,74.76378
-96.0,97,75.0864
-87.0,88,76.729533
-79.0,80,77.46627
-69.0,70,77.70222
-75.0,76,79.334843
-89.0,90,79.634247
-80.0,81,79.908372
-72.0,73,81.514818
-84.0,85,81.795038
-73.0,74,82.044401
-72.0,73,82.752674
-85.0,86,84.410065
-78.0,79,84.671567
-97.0,98,85.000118
-62.0,63,86.556056
-89.0,90,86.855301
-96.0,97,87.180461
-74.0,75,89.294593
-72.0,73,89.537862
-74.0,75,89.801778
-67.0,68,91.39862
-75.0,76,91.648812
-73.0,74,91.893065
-77.0,78,92.155459
-71.0,72,93.759285
-103.0,104,94.57504
-72.0,73,94.818087
-86.0,87,96.505386
-65.0,66,96.724368
-75.0,76,96.976009
-79.0,80,98.626311
-156.0,157,99.146037
-77.0,78,101.323472
-75.0,76,101.575284
-75.0,76,101.82467
-114.0,115,103.59383
-94.0,95,103.916543
-78.0,79,104.181859
-95.0,96,105.875499
-73.0,74,106.120043
-71.0,72,106.805721
-84.0,85,108.463975
-63.0,64,108.677386
-79.0,80,108.943743
-80.0,81,109.21848
-76.0,77,110.831449
-88.0,89,111.122271
-93.0,94,111.865676
-91.0,92,113.557276
-83.0,84,113.833376
-115.0,116,115.578326
-76.0,77,115.833906
-74.0,75,116.081134
-76.0,77,117.710373
-71.0,72,117.947572
-81.0,82,118.779292
-79.0,80,119.044764
-77.0,78,120.679942
-93.0,94,120.994769
-78.0,79,121.258525
-63.0,64,122.915882
-83.0,84,123.197124
-90.0,91,123.953364
-84.0,85,125.654639
-77.0,78,125.918828
-78.0,79,126.184844
-69.0,70,127.809636
-76.0,77,128.060444
-73.0,74,128.302796
-61.0,62,128.527517
-70.0,71,130.14565
-79.0,80,130.856882
-78.0,79,131.123649
-69.0,70,132.77931
-73.0,74,133.026236
-62.0,63,133.232179
-81.0,82,133.504396
-71.0,72,135.104763
-73.0,74,135.352682
-132.0,133,137.697486
-59.0,60,137.894377
-62.0,63,138.101172
-92.0,93,138.404373
-71.0,72,140.012588
-70.0,71,140.248295
-77.0,78,140.506065
-83.0,84,142.149399
-79.0,80,142.888501
-74.0,75,143.139142
-82.0,83,143.414452
-84.0,85,145.065612
-70.0,71,145.297225
-70.0,71,145.528196
-74.0,75,147.129012
-79.0,80,147.391177
-73.0,74,148.086017
-89.0,90,149.796207
-71.0,72,150.038472
-79.0,80,150.306283
-83.0,84,151.99841
-72.0,73,152.244755
-67.0,68,152.47299
-76.0,77,152.743872
-208.0,209,155.347568
-72.0,73,155.588863
-90.0,91,157.259967
-76.0,77,157.515725
-281.0,282,160.29336
-85.0,86,161.991485
-82.0,83,162.26892
-74.0,75,162.518551
-79.0,80,164.196914
-71.0,72,164.437473
-70.0,71,164.674591
-62.0,63,164.891509
-69.0,70,166.981636
-98.0,99,167.308915
-82.0,83,167.594054
-71.0,72,169.222738
-103.0,104,169.569098
-72.0,73,169.812651
-95.0,96,171.502439
-75.0,76,172.23554
-80.0,81,172.510641
-75.0,76,174.143851
-63.0,64,174.353819
-72.0,73,174.59391
-74.0,75,174.840833
-83.0,84,176.484534
-121.0,122,176.884617
-89.0,90,179.063083
-89.0,90,179.357795
-82.0,83,179.630598
-87.0,88,181.293271
-69.0,70,181.523743
-78.0,79,181.783537
-77.0,78,182.041899
-92.0,93,184.199791
-89.0,90,184.502725
-83.0,84,184.791261
-79.0,80,186.439814
-79.0,80,186.70322
-71.0,72,186.940242
-104.0,105,188.649143
-69.0,70,188.880201
-87.0,88,189.615167
-74.0,75,191.253772
-86.0,87,191.541366
-93.0,94,191.849999
-85.0,86,193.525301
-70.0,71,193.7572
-76.0,77,194.008833
-104.0,105,196.264841
-72.0,73,196.505739
-79.0,80,196.771771
-75.0,76,198.39344
-91.0,92,198.700089
-206.0,207,200.767826
-90.0,91,201.521814
-82.0,83,201.807617
-74.0,75,203.430537
-74.0,75,203.679494
-93.0,94,203.99448
-76.0,77,205.634878
-86.0,87,205.924052
-106.0,107,206.27848
-500.0,500,211.182395
-72.0,73,212.81961
-84.0,85,213.541208
-76.0,77,213.797188
-90.0,91,215.484465
-156.0,157,215.999315
-64.0,65,217.587159
-110.0,111,217.95035
-85.0,86,218.23219
-70.0,71,220.380032
-72.0,73,220.630637
-71.0,72,220.869651
-85.0,86,222.550954
-75.0,76,222.806046
-73.0,74,223.071089
-103.0,104,224.837274
-96.0,97,225.606301
-77.0,78,225.868829
-87.0,88,227.524664
-72.0,73,227.768938
-81.0,82,228.038039
-92.0,93,229.730824
-71.0,72,229.971271
-93.0,94,230.284609
-75.0,76,230.962987
-71.0,72,232.600265
-79.0,80,232.869932
-75.0,76,233.122588
-153.0,154,234.995193
-62.0,63,235.203084
-76.0,77,236.818514
-84.0,85,237.544365
-71.0,72,237.788358
-70.0,71,238.024446
-63.0,64,239.598922
-72.0,73,239.843686
