#{"t_start": 1611492701.2437572, "env_id": "CartPole-v1"}
r,l,t
20.0,20,4.214675
13.0,13,4.38178
14.0,14,4.400665
45.0,45,4.595081
29.0,29,4.778235
11.0,11,5.003078
18.0,18,5.027554
18.0,18,5.203017
62.0,62,5.539831
117.0,117,6.028781
27.0,27,6.176687
89.0,89,6.68994
94.0,94,7.161639
126.0,126,7.775403
148.0,148,8.467392
290.0,290,10.224555
87.0,87,10.605232
146.0,146,12.708085
183.0,183,13.768216
140.0,140,14.420233
159.0,159,15.235371
388.0,388,17.112004
295.0,295,19.819391
282.0,282,21.421742
500.0,500,24.24095
500.0,500,28.823306
500.0,500,31.583914
500.0,500,34.288701
500.0,500,39.030347
500.0,500,41.76031
500.0,500,46.655925
500.0,500,49.271526
500.0,500,52.005537
500.0,500,56.953286
500.0,500,59.609335
500.0,500,64.590746
500.0,500,67.058874
500.0,500,69.948369
500.0,500,74.737252
500.0,500,77.427835
500.0,500,82.262789
500.0,500,84.725908
500.0,500,87.463466
