#{"t_start": 1611314123.8715549, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1244.102514,1000,47.099812
-1139.488127,1000,102.749983
-1324.676819,1000,146.555307
-1200.777683,1000,200.108692
-827.01073,1000,242.394539
-552.422202,1000,294.053496
-37.335672,1000,344.939727
92.831046,1000,385.737612
58.776334,1000,436.113592
311.375348,1000,478.75263
222.259432,1000,529.242708
378.333883,1000,579.754714
706.127296,1000,620.148425
725.892767,1000,669.923459
921.964969,1000,710.005578
1000.526195,1000,759.512921
1073.498142,1000,809.139801
1343.101458,1000,849.02091
1313.152157,1000,898.733578
1422.589534,1000,939.093556
1429.314006,1000,988.866433
1446.518609,1000,1030.575408
1536.482716,1000,1071.154215
1610.897053,1000,1120.857707
1720.857194,1000,1161.163932
1788.340214,1000,1211.046758
1504.203866,1000,1261.12688
1813.709005,1000,1301.779458
1805.168871,1000,1351.307106
1880.908041,1000,1391.673942
1916.838611,1000,1440.899639
1833.202428,1000,1490.189423
1967.608712,1000,1529.978999
1988.689412,1000,1579.13617
1698.841663,1000,1619.117842
1960.497564,1000,1668.378869
1979.972576,1000,1717.581991
2000.797975,1000,1757.351341
2065.346246,1000,1806.523231
1739.928465,1000,1846.163967
1936.155493,1000,1895.159976
2018.014149,1000,1944.095589
2114.970472,1000,1976.013586
2071.794233,1000,2025.418029
2093.845973,1000,2065.115596
2057.063551,1000,2114.443226
2057.456715,1000,2163.355014
2136.757162,1000,2203.220545
2178.123526,1000,2252.120265
2234.931974,1000,2292.10717
2180.932135,1000,2341.387246
2191.574193,1000,2390.483546
2165.922487,1000,2430.338823
2142.840283,1000,2479.155736
2155.683696,1000,2518.930964
1848.137325,1000,2567.908905
2188.941165,1000,2617.163882
2022.252284,1000,2657.215407
2138.120418,1000,2706.020416
2178.764169,1000,2745.658932
2236.363813,1000,2794.393354
2269.665095,1000,2843.307366
2248.532654,1000,2883.013917
2012.903834,1000,2923.9057
2210.934605,1000,2964.660017
1977.732997,1000,3013.611139
2305.786442,1000,3062.330675
2223.47136,1000,3101.83877
2264.848024,1000,3150.800459
2277.383822,1000,3190.453691
2281.43915,1000,3239.289834
2305.002133,1000,3288.527106
2239.679637,1000,3328.209089
2340.655229,1000,3376.992207
2239.640993,1000,3416.781474
2220.617375,1000,3465.488288
2252.513609,1000,3514.536805
2360.928854,1000,3554.119759
2306.719117,1000,3603.090178
2341.449489,1000,3642.707113
2294.123865,1000,3691.148818
2326.159265,1000,3739.907761
2353.367686,1000,3779.418431
2333.229348,1000,3828.398286
2324.41716,1000,3868.113778
2292.369481,1000,3909.14873
2279.076177,1000,3957.968902
2295.102997,1000,3997.603347
2264.14423,1000,4046.536574
2346.006303,1000,4086.173837
2337.574183,1000,4135.182915
2404.566885,1000,4184.167329
2368.769544,1000,4224.072113
2339.001928,1000,4273.070386
1873.906043,1000,4312.714215
2418.025431,1000,4361.614122
2389.20004,1000,4410.273602
2311.534949,1000,4449.952128
2374.992659,1000,4498.968694
2384.418119,1000,4538.766619
2401.619675,1000,4587.306874
2368.860794,1000,4635.994961
2357.322127,1000,4675.597669
2276.709081,1000,4724.454587
2431.395087,1000,4764.044365
2336.965192,1000,4812.843127
2237.238248,1000,4853.892978
2379.580078,1000,4893.44902
2343.923317,1000,4942.095227
2381.790503,1000,4981.48456
2330.503412,1000,5030.374217
2355.848984,1000,5079.150221
2414.98413,1000,5118.715006
2409.162504,1000,5167.578712
2336.794529,1000,5207.06999
2391.597758,1000,5255.701938
2377.067863,1000,5304.248239
2300.512007,1000,5343.851242
2397.954281,1000,5392.704719
2455.51239,1000,5432.609573
2113.87714,1000,5481.368169
2382.264888,1000,5530.070174
2464.763016,1000,5569.753469
2408.686908,1000,5618.491662
2240.100333,1000,5658.416706
