#{"t_start": 1611606200.085754, "env_id": "HopperBulletEnv-v0"}
r,l,t
24.116512,10,4.598878
28.871158,14,4.766185
40.580093,27,5.092227
28.14844,15,5.2711
31.659355,20,5.50238
31.772358,20,5.736552
25.459521,13,5.891722
24.250622,8,5.985787
40.106643,27,6.303554
33.297523,20,6.537044
25.4749,18,6.745831
30.18151,19,6.968539
33.08387,19,7.193358
42.306508,31,7.56233
24.470072,10,7.680669
28.67084,15,7.852267
26.913833,12,7.994462
31.699373,17,8.199151
34.477116,24,8.485692
36.28824,18,8.69562
30.961617,21,8.977772
23.392844,10,9.096259
26.061494,11,9.232821
28.265621,11,9.37025
32.373271,20,9.605138
27.642914,18,9.833505
26.498981,13,9.991849
16.135726,12,10.133847
29.308574,14,10.305382
45.08971,40,18.731148
24.47516,16,18.920922
23.654091,11,19.052761
42.084393,32,19.435463
26.394782,16,19.622807
23.267316,10,19.739388
26.370872,13,19.890775
19.816165,7,20.177798
19.387255,8,20.273681
21.184309,8,20.374715
33.22368,22,20.635948
26.442717,14,20.800911
32.9184,22,21.060001
28.360114,13,21.212894
21.336858,9,21.317546
30.227782,21,21.572911
28.635529,14,21.734172
25.072431,10,21.85131
23.788002,9,21.968858
43.175816,29,22.321804
23.60396,13,22.482434
24.62402,17,22.677874
19.837155,6,22.747171
24.651378,16,22.935755
28.919623,14,23.102729
23.130661,13,23.252829
25.512231,10,23.369571
28.991441,16,23.564947
27.487232,15,23.737461
27.065583,14,23.898991
26.169381,11,24.031729
24.958102,11,24.158957
26.926162,17,24.351124
23.785302,9,24.461594
18.18907,7,24.542613
21.264299,7,24.620252
25.509948,12,24.756928
34.179992,22,32.971889
28.380408,16,33.163843
31.946461,18,33.374231
23.635988,10,33.494961
25.839216,13,33.65497
31.921773,22,33.914693
43.083803,27,34.243595
22.578511,11,34.376005
31.13301,21,34.630413
22.405858,13,34.784039
24.526503,11,34.913254
39.014604,25,35.210946
26.16829,12,35.359458
27.280239,12,35.698725
23.416652,14,35.863246
28.702269,18,36.077656
34.170609,22,36.341241
32.350011,20,36.580395
31.675707,19,36.803061
26.581667,14,36.96974
49.667194,34,37.375843
39.758879,25,37.681027
25.226301,14,37.845523
24.559889,13,38.000688
21.813314,7,38.089842
31.896903,19,38.308778
27.149167,15,38.482813
56.673006,51,47.016692
24.129758,14,47.176773
29.249667,43,47.667643
28.232282,16,47.857917
33.400527,17,48.056122
27.840137,14,48.215002
28.750095,17,48.40717
26.662997,60,49.1105
36.004571,25,49.393745
25.552284,18,49.59714
39.600049,26,49.901501
42.264416,30,50.248049
52.289224,42,50.727946
28.104666,45,51.483087
33.092453,22,51.737435
46.295239,31,52.111805
30.397061,17,52.307252
30.986699,18,52.516469
28.232976,16,52.70323
42.820001,31,53.074885
48.648269,35,61.448787
37.49815,34,61.84839
41.504016,36,62.273407
25.311217,12,62.409472
28.412918,25,62.699667
53.474268,39,63.155901
67.398324,70,63.959875
60.614348,50,64.53136
53.244516,47,65.076441
22.750443,16,65.272839
32.260574,22,65.528507
46.26234,35,65.930995
29.670366,20,66.16648
26.271287,11,66.291316
28.428436,20,66.962243
38.839776,33,67.353059
24.235026,12,67.49095
23.609671,14,75.553029
68.658121,59,76.239561
43.539326,39,76.685288
30.492799,23,76.953568
44.179385,48,77.518119
96.011193,85,78.514232
78.798854,72,79.354775
48.974863,56,79.995007
53.054089,42,80.476843
49.880792,61,81.189445
47.595939,41,89.625037
23.98931,54,90.853054
56.76816,58,91.538951
71.029092,89,92.564162
53.17769,40,93.02727
37.556917,29,93.3648
67.765494,62,94.074202
47.399978,45,94.596632
17.316545,11,94.725171
32.325446,17,94.921334
74.054629,61,95.629067
62.437821,40,104.008714
90.249923,61,104.707585
78.663763,54,105.315546
91.143498,74,106.715055
72.449592,61,107.431905
102.499763,89,108.489188
130.065799,139,110.11844
104.096063,95,119.226516
84.342344,62,119.943783
82.779739,51,120.533437
74.916642,53,121.138767
69.645995,54,122.238349
27.767807,17,122.436511
110.046111,104,123.616925
33.832667,49,124.184326
84.493316,63,132.856397
104.13846,92,133.924803
46.204733,37,134.342374
127.486738,99,135.473483
94.035353,84,136.434787
136.695917,132,138.563396
139.673276,141,148.191198
73.846388,57,148.859421
138.14185,134,150.433375
110.766604,77,151.320205
113.225221,86,152.305391
96.914205,79,161.738787
122.240174,98,162.866815
116.4712,79,163.775119
169.290036,180,165.846534
95.333606,68,166.618534
97.345097,72,167.454134
143.976925,125,177.569907
145.734594,168,179.496303
183.160235,160,181.328629
94.751277,69,190.044797
139.586147,99,191.224072
143.447259,94,192.331031
122.836194,121,194.604579
140.880793,114,195.962228
158.292443,135,205.533372
185.588554,164,207.431914
147.290744,114,209.615702
133.487899,97,210.732966
153.417808,112,219.908856
140.320391,117,221.265291
221.638356,256,224.242772
186.041174,155,234.908696
167.173474,145,236.563066
141.513389,96,237.655221
153.481103,100,238.792345
213.756074,186,252.814073
136.446548,98,253.940051
121.446699,81,254.87247
130.043981,104,256.089863
114.031332,98,257.231272
181.002342,136,266.809743
282.188552,285,278.650892
169.021182,127,280.132592
120.372644,93,289.187962
194.341505,170,291.139859
200.926987,193,301.880161
189.044332,141,311.404872
187.230132,218,313.909775
262.1588,259,333.427055
245.238482,197,335.736232
174.826706,130,337.212246
159.247054,147,338.899354
