#{"t_start": 1607103475.517855, "env_id": "Pendulum-v0"}
r,l,t
-1428.2399,200,6.167334
-935.070753,200,6.519161
-987.450055,200,6.867251
-1585.161576,200,7.211161
-1780.362406,200,7.553521
-1645.969319,200,7.905204
-1165.786102,200,9.106519
-1515.520117,200,9.447137
-1137.101118,200,9.788911
-1395.394216,200,10.132815
-1186.847969,200,26.897934
-1258.229023,200,27.245103
-1729.637742,200,28.4046
-1515.999083,200,28.781599
-883.300312,200,29.131282
-1405.299411,200,29.473453
-1082.658665,200,29.820308
-932.10865,200,30.16824
-997.806166,200,31.408551
-1492.691247,200,31.768384
-884.152831,200,48.393075
-1384.702115,200,48.76007
-979.878105,200,49.099116
-1539.727771,200,49.44108
-1375.023535,200,49.78252
-962.182492,200,50.954545
-1072.960591,200,51.342052
-988.116144,200,51.725686
-944.411679,200,52.068482
-869.429676,200,52.406879
-1166.692212,200,68.795853
-914.47578,200,69.962725
-856.662628,200,70.304029
-1445.228449,200,70.640639
-1542.162908,200,71.004548
-1100.670489,200,71.337318
-1178.006251,200,71.700622
-1509.256227,200,72.854131
-1449.951881,200,73.195903
-1209.340653,200,73.53263
-1276.806487,200,89.966283
-1355.248519,200,90.305259
-894.006023,200,90.644654
-790.957777,200,91.829959
-956.206317,200,92.19999
-976.865212,200,92.540177
-1383.851351,200,92.876763
-1345.384598,200,93.216684
-1519.238746,200,93.551715
-1705.356221,200,93.888006
-900.978208,200,95.042622
-872.354556,200,111.216982
-1067.597168,200,111.587107
-1079.001334,200,111.920416
-1727.361599,200,112.309455
-929.469974,200,112.645716
-964.585775,200,113.771105
-1614.735587,200,114.105738
-1076.911198,200,114.455492
-1434.888023,200,114.782617
-1222.3664,200,115.113611
-1098.765802,200,131.139929
-901.266315,200,132.284875
-986.790667,200,132.666271
-1302.419589,200,132.996005
-1435.650203,200,133.326692
-1319.887874,200,133.654074
-1470.56613,200,133.989865
-1784.408963,200,135.126502
-1309.378862,200,135.457226
-976.512416,200,135.798802
-1424.112875,200,151.946565
-1275.780308,200,152.289173
-873.839936,200,152.664551
-1022.306296,200,153.042717
-1075.312828,200,154.186858
-986.138287,200,154.531644
-885.449558,200,154.892682
-1027.788478,200,155.231911
-1031.644051,200,155.570312
-993.337679,200,155.905795
-1038.042629,200,172.913246
-1031.075017,200,173.273108
-1507.642065,200,173.604191
-983.705378,200,173.936275
-1030.307548,200,174.268742
-1443.762875,200,174.600851
-1304.125725,200,175.737262
-1053.637578,200,176.075388
-1023.944172,200,176.412914
-1080.92499,200,176.742089
-1002.140529,200,177.093757
-986.956653,200,193.568873
-979.80176,200,194.711444
-885.51774,200,195.045795
-1117.017735,200,195.395107
-1027.62341,200,195.72946
-1031.867673,200,196.060292
-1453.203876,200,196.390083
-1086.031309,200,196.722276
-1216.004722,200,197.862348
-912.231966,200,198.197282
-953.0247,200,214.304173
-1069.473731,200,214.633251
-1027.451133,200,214.987431
-897.044688,200,215.323911
-963.999195,200,216.480465
-1041.31773,200,216.815716
-1103.860001,200,217.151426
-950.886346,200,217.502992
-1377.393741,200,217.83928
-1102.888669,200,218.177467
-1004.293913,200,235.143859
-1146.249,200,235.483065
-1088.367389,200,235.864714
-1103.346085,200,236.206721
-932.887678,200,236.546637
-1034.841836,200,236.882862
-992.709046,200,238.037509
-1162.178626,200,238.380013
-1221.518491,200,238.734337
-1146.685748,200,239.085786
-1080.776168,200,255.325726
-1353.453071,200,255.660022
-867.294565,200,256.010843
-1197.735838,200,257.115922
-1027.82083,200,257.440132
-1132.557406,200,257.776511
-1003.774177,200,258.128115
-1239.183931,200,258.458086
-1006.196439,200,258.795897
-1218.125436,200,259.957824
-1105.475489,200,260.288273
-1040.96135,200,276.22241
-993.896816,200,276.563623
-1346.093021,200,276.899043
-1135.349963,200,277.228289
-1038.369687,200,278.385232
-1070.403469,200,278.716846
-1109.72971,200,279.057184
-1051.141226,200,279.385677
-1019.586834,200,279.73942
-963.547818,200,280.105253
-1035.255196,200,296.942615
-899.539626,200,297.278868
-1119.614124,200,297.605917
-990.966017,200,297.936233
-1047.272483,200,298.289958
-1041.41604,200,298.616442
-793.79957,200,298.946464
-1221.591787,200,300.105985
-1033.3032,200,300.477074
-1126.849452,200,300.811011
-1023.887938,200,316.823316
-1105.169533,200,317.15056
-926.000611,200,317.485366
-1181.637104,200,318.625266
-1001.73866,200,318.952442
-908.790313,200,319.284307
-1367.286192,200,319.617671
-904.420371,200,319.954886
-988.888794,200,320.311028
-1170.923361,200,321.50772
-1382.46332,200,337.404687
-1040.570252,200,337.736636
-903.83365,200,338.06535
-999.859618,200,338.388402
-1011.472431,200,338.736242
-925.321968,200,339.833936
-1265.203535,200,340.16126
-1114.143487,200,340.510317
-1437.561299,200,340.867655
-1426.203806,200,341.197559
-1029.196867,200,341.529073
-1034.653683,200,357.455311
-909.151735,200,358.563483
-1006.555553,200,358.908568
-996.703925,200,359.249548
-871.308131,200,359.578275
-1165.548454,200,359.906829
-1020.464694,200,360.241251
-984.615419,200,361.420509
-1030.519804,200,361.758465
-885.320493,200,362.110842
-1247.614937,200,377.964397
-1105.746154,200,378.295277
-1026.413607,200,378.621921
-1030.189605,200,379.744224
-1026.51564,200,380.08616
-1112.430928,200,380.420012
-1081.286641,200,380.746423
-1014.419756,200,381.09438
-1101.728621,200,381.453679
-1003.463907,200,382.581901
-1022.802638,200,398.66893
-907.116843,200,399.006715
-1024.438882,200,399.355527
-1033.091887,200,399.694432
-969.206505,200,400.030736
-1006.749045,200,400.356215
-1012.058139,200,401.492929
-945.184388,200,401.866374
-1142.419661,200,402.198558
-1037.047486,200,402.551441
-1282.415829,200,418.455277
-1010.571323,200,418.779633
-1118.067331,200,419.907675
-1231.670567,200,420.246037
-989.186064,200,420.573091
-1085.521751,200,420.915955
-1216.066566,200,421.250429
-983.547795,200,421.601463
-1161.158408,200,422.770753
-958.880752,200,423.103745
-1105.152019,200,423.434295
-892.626074,200,439.423649
-933.550968,200,439.776854
-913.249042,200,440.110668
-998.799723,200,441.22292
-1013.808953,200,441.567878
-1027.110643,200,441.913909
-1120.98485,200,442.280792
-1031.841521,200,442.612232
-1034.992684,200,442.965354
-1007.784443,200,443.303616
-1036.413581,200,460.035568
-885.152366,200,460.355492
-1026.748167,200,460.688301
-993.027033,200,461.02343
-1006.832573,200,461.345582
-1133.577648,200,461.678353
-1125.242301,200,462.831688
-974.794268,200,463.182517
-1036.518406,200,463.514657
-990.347371,200,463.840419
-1028.214522,200,479.915174
-990.342962,200,480.267445
-1067.692119,200,481.392931
-890.655466,200,481.748265
-868.892937,200,482.11341
-949.432826,200,482.446361
-778.246672,200,482.790747
-1190.90528,200,483.173114
-1020.953484,200,484.311649
-995.8404,200,484.647712
-910.786534,200,500.973406
-1163.658891,200,501.306689
-973.797645,200,501.634167
-950.775189,200,501.970197
-972.001729,200,502.328017
-854.583514,200,503.50673
-881.763869,200,503.842042
-1079.432771,200,504.177316
-890.429007,200,504.503631
-1214.116915,200,504.833327
-758.296318,200,505.165499
-1054.417578,200,521.953966
-899.459418,200,522.286588
-904.523667,200,522.64104
-1006.626521,200,522.964638
-924.151035,200,523.290729
-978.882818,200,523.676683
-910.265263,200,524.793597
-863.959434,200,525.122453
-895.035117,200,525.470171
-993.73527,200,525.796112
-994.622032,200,541.730064
-1022.688649,200,542.062519
-889.113842,200,543.190892
-887.817766,200,543.517623
-1008.635349,200,543.905658
-1011.919589,200,544.228221
-923.86325,200,544.556463
-993.328816,200,544.898698
-1010.194981,200,545.220552
-1014.520793,200,546.358443
-892.621874,200,562.310627
-1014.638777,200,562.641231
-992.31114,200,563.00079
-896.40925,200,563.327839
-867.724456,200,563.656463
-1047.74508,200,564.813213
-915.428627,200,565.152284
-890.373289,200,565.47393
-884.127109,200,565.803839
-957.149212,200,566.158562
-1033.571431,200,582.11826
-1005.704314,200,583.265878
-924.735941,200,583.609312
-1036.261304,200,583.952228
-1019.933467,200,584.300756
-1043.006551,200,584.655553
-1046.849839,200,584.980843
-1040.492483,200,586.096469
-886.492628,200,586.424974
-887.66082,200,586.761166
-999.461468,200,602.588259
-1021.687992,200,602.908723
-884.210095,200,603.231535
-917.726262,200,603.591729
-1032.974326,200,604.731956
-999.240079,200,605.056597
-1021.779795,200,605.374827
-1030.937809,200,605.706259
-955.821049,200,606.031662
-1001.219705,200,606.382017
-1027.722016,200,607.475136
-1023.616165,200,623.128265
-1005.605989,200,623.453442
-903.391386,200,623.801496
-1033.324431,200,624.130357
-1186.649811,200,624.451978
-977.839803,200,625.614717
-1125.984329,200,625.951046
-1044.048237,200,626.277763
-1036.693995,200,626.617206
-1023.608406,200,626.944238
-1040.220518,200,642.759027
-1005.322956,200,643.869597
-966.664671,200,644.236274
-1075.853309,200,644.568127
-918.182855,200,644.924951
-1006.29267,200,645.280185
-1008.718103,200,645.613056
-1070.255303,200,645.936007
-1055.774336,200,647.044957
-1045.948289,200,647.384074
-1004.130881,200,663.172467
-901.512918,200,663.498349
-995.80866,200,663.819975
-1034.541745,200,664.139559
-983.142091,200,665.269645
-995.468437,200,665.627377
-1110.717348,200,665.956521
-1013.126653,200,666.28876
-1031.854321,200,666.609041
-914.406895,200,666.948602
-941.596224,200,683.420181
-891.567226,200,683.746705
-989.16212,200,684.069498
-852.926068,200,684.391577
-897.424739,200,684.750695
-936.462863,200,685.077768
-950.707547,200,686.224196
-1011.925584,200,686.550293
-1033.255279,200,686.881333
-1055.938946,200,687.224375
-1081.58103,200,687.548647
-897.486917,200,703.263467
-1025.935355,200,703.58484
-997.623722,200,704.735739
-1002.529453,200,705.067041
-877.419883,200,705.41504
-1031.172052,200,705.744618
-1046.783608,200,706.077995
-1005.868914,200,706.425738
-1019.569542,200,707.533758
-996.403662,200,707.856235
-896.015136,200,723.537661
-875.486643,200,723.858531
-1019.115478,200,724.181632
-947.557298,200,724.505974
-991.900841,200,725.638581
-1009.377553,200,725.970304
-1035.90662,200,726.293203
-908.114805,200,726.668536
-879.158078,200,726.992324
-1000.815367,200,727.315225
-859.966633,200,743.630666
-888.178056,200,743.954701
-1025.445333,200,744.28552
-769.473444,200,744.61405
-893.25282,200,744.930354
-1012.017486,200,745.269378
-974.575953,200,745.589259
-998.560858,200,746.68398
-1089.48626,200,747.03903
-992.977206,200,747.352086
-987.123386,200,762.950244
-896.179674,200,763.276798
-960.93286,200,763.60112
-914.133278,200,764.686548
-1060.661699,200,765.027491
-976.850137,200,765.346617
-1014.332614,200,765.690676
-1012.982625,200,766.036227
-1044.939212,200,766.347577
-895.848769,200,767.456101
-895.743693,200,767.782978
-985.734398,200,783.367411
-880.683736,200,783.700847
-858.37687,200,784.020523
-881.143031,200,784.345987
-888.598319,200,785.422645
-1013.197203,200,785.77655
-883.191918,200,786.106049
-885.761081,200,786.448791
-872.421713,200,786.77639
-1024.663239,200,787.095467
-1059.657118,200,802.897186
-882.285755,200,804.021846
-1013.176993,200,804.344347
-844.531144,200,804.674433
-1013.960365,200,804.9931
-1015.800836,200,805.313672
-893.811922,200,805.638093
-1039.006803,200,806.791748
-891.954783,200,807.112194
-993.880009,200,807.431375
-884.60245,200,823.262063
-884.269873,200,823.599248
-1002.830352,200,823.926421
-896.46273,200,825.01232
-991.114249,200,825.332507
-989.771694,200,825.65317
-757.838398,200,825.976063
-990.786535,200,826.323066
-940.087665,200,826.664455
-895.201087,200,827.739718
-917.114382,200,843.418441
-888.888207,200,843.754089
-1024.581627,200,844.081612
-880.659951,200,844.401089
-1032.931613,200,844.721945
-981.676218,200,845.047868
-872.053592,200,846.133089
-869.806621,200,846.47858
-919.620035,200,846.821554
-745.819216,200,847.167202
-909.149192,200,847.485745
-880.311242,200,863.127466
-885.596305,200,864.310283
-882.679227,200,864.633801
-996.940274,200,864.953712
-987.397297,200,865.276927
-914.68259,200,865.603956
-884.748073,200,865.918342
-886.834517,200,867.069163
-848.958975,200,867.399966
-947.392782,200,867.722331
-978.236474,200,883.459995
-863.491133,200,883.827502
-1028.423463,200,884.171993
-872.258955,200,885.286969
-786.581536,200,885.62183
-870.564708,200,885.948575
-781.656985,200,886.272493
-747.479521,200,886.614207
-886.86104,200,886.954955
-843.921886,200,887.297916
-769.295884,200,903.69779
-976.552256,200,904.05443
-764.749412,200,904.391961
-877.18421,200,904.713715
-860.355403,200,905.039014
-876.13238,200,905.358793
-989.696796,200,906.448281
-762.68274,200,906.774593
-906.1323,200,907.129264
-867.828026,200,907.486279
-880.260359,200,923.159909
-882.174725,200,923.479965
-950.255141,200,924.611225
-761.495529,200,924.933268
-807.027136,200,925.263116
-890.151969,200,925.579982
-879.96359,200,925.901058
-796.853404,200,926.228441
-888.005873,200,927.338708
-871.882776,200,927.684915
-845.947975,200,928.014287
-722.211506,200,943.667546
-929.505937,200,943.991222
-854.26596,200,944.315083
-866.214485,200,944.708158
-875.840889,200,945.78725
-1028.251244,200,946.111913
-881.74444,200,946.441026
-995.536175,200,946.773316
-860.94617,200,947.094616
-854.613745,200,947.407474
-902.23063,200,963.93251
-797.085652,200,964.26268
-911.815358,200,964.589274
-746.754149,200,964.918376
-748.124975,200,965.302265
-771.610133,200,965.627781
-744.791805,200,966.740563
-741.706858,200,967.071131
-869.19035,200,967.39424
-747.78584,200,967.724516
-746.541581,200,983.32542
-744.070435,200,983.645646
-888.7673,200,984.729897
-758.424668,200,985.058581
-757.17274,200,985.430223
-625.149016,200,985.750484
-745.648948,200,986.079867
-939.640838,200,986.400205
-755.463694,200,986.718863
-506.586477,200,987.805706
-866.388706,200,1003.540194
-754.398068,200,1003.865072
-848.317111,200,1004.188555
-866.481728,200,1004.513744
-878.998354,200,1004.837384
-863.459008,200,1005.986893
-869.171084,200,1006.315417
-753.681308,200,1006.645293
-754.735029,200,1006.964717
-849.440838,200,1007.282871
-828.671792,200,1007.607063
-733.636506,200,1024.157254
-781.757719,200,1024.484718
-741.053241,200,1024.816179
-860.994504,200,1025.135639
-979.092451,200,1025.455624
-731.402088,200,1025.8081
-746.968137,200,1026.926458
-768.691125,200,1027.259117
-641.349157,200,1027.594978
-740.413156,200,1027.930725
-923.136904,200,1043.813602
-742.918914,200,1044.173162
-749.304336,200,1044.497097
-869.004237,200,1045.607634
-873.274846,200,1045.958137
-879.53644,200,1046.313927
-866.682687,200,1046.639303
-738.228105,200,1046.969112
-812.35752,200,1047.296818
-742.492422,200,1048.411341
-755.112675,200,1064.25771
-885.934459,200,1064.584059
-599.008297,200,1064.908746
-666.550595,200,1065.235732
-736.823539,200,1065.553701
-934.510664,200,1066.692693
-758.909583,200,1067.03185
-748.662608,200,1067.370756
-684.07013,200,1067.708407
-751.53965,200,1068.030298
-754.163294,200,1083.738732
-815.757446,200,1084.877575
-881.578062,200,1085.210994
-623.448983,200,1085.542485
-751.371728,200,1085.867108
-734.755967,200,1086.211552
-733.710662,200,1086.537248
-856.263861,200,1086.895378
-752.162599,200,1088.018427
-742.018333,200,1088.348979
-624.029302,200,1104.129959
-714.173575,200,1104.448117
-752.955369,200,1104.828593
-743.637343,200,1105.162675
-698.977447,200,1106.290549
-632.620489,200,1106.644088
-678.125076,200,1106.979761
-760.901261,200,1107.332076
-869.578446,200,1107.665132
-761.562222,200,1107.998735
-619.675396,200,1109.087978
-752.584976,200,1125.387853
-965.108268,200,1125.71726
-746.864566,200,1126.048853
-793.017194,200,1126.380691
-598.782483,200,1126.729539
-732.916313,200,1127.878395
-749.396486,200,1128.212337
-628.083994,200,1128.539455
-501.336806,200,1128.865774
-738.732963,200,1129.187989
-864.675513,200,1144.863876
-667.28071,200,1145.199842
-629.769193,200,1146.323912
-872.548582,200,1146.654363
-758.626777,200,1146.996496
-819.006414,200,1147.31865
-733.688777,200,1147.676881
-863.769815,200,1148.008917
-743.475157,200,1149.104198
-632.362946,200,1149.446392
-868.184043,200,1165.213024
-739.898622,200,1165.587029
