#{"t_start": 1611677036.5083182, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
12.630222,9,1.01335
29.638392,30,1.626517
23.381778,18,1.960316
31.804968,25,2.509559
17.538577,17,2.827008
18.323043,11,3.030647
14.435821,8,3.173465
16.550856,9,3.335599
18.601379,12,3.555315
14.725858,8,3.709657
25.774797,22,4.107238
14.877272,8,4.245607
19.659718,14,4.496251
27.067035,19,4.849607
16.956256,11,5.051016
19.724602,15,5.328533
18.033368,12,5.551819
18.309105,13,5.797017
13.134176,7,5.920934
18.592829,12,6.144885
23.8534,19,6.509398
25.610054,20,6.889988
22.570254,15,7.152542
14.636741,8,7.307083
22.292545,18,7.689907
20.130162,13,7.936106
16.889753,12,8.151579
27.764895,25,8.600854
23.423327,16,8.899536
20.226182,13,9.127556
26.312832,21,9.507705
14.079096,15,9.759771
15.380834,11,9.957776
17.994893,11,10.147291
21.253797,15,10.414559
13.287294,9,23.869886
18.175775,12,24.084709
19.705803,16,24.360309
23.596316,17,24.676673
19.263776,14,24.920644
11.397516,6,25.026956
24.544503,17,25.352513
18.235286,16,25.661571
34.56306,28,26.542102
17.221569,14,26.814685
19.758236,21,27.213397
13.913113,8,27.351822
22.898506,15,27.61192
19.838766,16,27.896292
27.549738,24,28.406847
29.550957,24,28.847819
30.906629,28,29.367665
17.69388,12,29.5721
19.716004,19,29.908356
21.624585,17,30.23051
22.263135,16,30.512962
29.105956,23,30.918134
16.038723,10,31.097025
21.946211,16,31.387724
14.890513,9,31.541314
20.843447,15,31.813613
39.333873,36,32.453172
22.024836,15,32.715337
24.41927,24,33.128792
18.603564,14,33.387843
54.017471,48,47.472076
22.070564,17,47.822136
29.962223,27,48.342507
38.143054,37,49.028498
19.246087,14,49.336787
25.696867,24,49.807776
31.407541,25,50.296047
35.902497,35,50.929829
18.101403,19,51.971705
16.72323,12,52.192358
18.494894,12,52.411443
17.275999,12,52.642948
30.606032,27,53.134124
16.132403,13,53.380733
19.888998,14,53.635578
26.838867,20,54.004623
24.475612,19,54.431398
40.02425,33,55.024826
21.745895,17,55.341154
22.408555,18,55.661616
37.048608,67,56.881753
27.95365,25,69.665787
13.91391,8,69.869889
37.752094,40,70.610375
36.435874,44,71.449726
71.665179,85,73.084288
31.117614,28,73.631726
22.880503,16,73.91636
29.485798,23,74.436546
26.225081,26,75.231452
53.421647,51,77.592722
22.450709,33,78.364996
29.993586,28,78.863751
32.868949,28,79.36254
33.994775,38,80.042882
38.079925,32,80.695018
50.175326,109,94.813803
15.751755,17,95.11605
50.346556,47,96.025658
29.577435,41,96.780697
46.665375,46,97.632152
68.433108,65,98.815469
44.847195,47,99.714666
16.228579,10,99.914536
61.177704,54,101.074543
35.891832,30,104.762444
62.459596,62,118.921575
32.659245,50,119.86799
57.849155,60,120.923501
86.143107,93,122.691656
49.864899,47,123.529085
49.688814,63,124.661914
45.394534,43,125.437405
17.528628,13,125.670744
58.157688,62,126.874274
49.184336,71,128.130504
85.600102,79,143.472309
45.164274,54,144.444618
38.924191,41,145.15747
82.676591,80,146.581036
49.392192,75,147.976377
82.316055,89,149.629802
57.755,63,150.78909
79.343913,70,164.553161
56.837675,79,166.572117
97.709822,102,170.221553
26.044402,25,170.649908
74.212236,79,172.04639
18.42484,16,172.320612
25.829174,29,172.827189
94.673134,91,174.540262
44.675138,57,187.352877
70.275598,66,188.558842
56.698039,78,190.031014
27.65408,44,190.811678
70.733119,77,192.225778
57.323964,71,194.707448
106.935366,120,197.42944
98.457863,93,212.24912
56.369101,50,213.123397
85.287737,88,214.705318
106.97484,151,217.802935
77.81077,76,220.356123
77.270331,76,221.818542
48.402168,66,236.359523
81.149832,78,237.766378
57.691828,59,238.90292
40.354265,68,240.11397
102.241876,138,242.694424
65.279239,62,243.864542
63.820765,58,244.915404
73.512772,76,260.70168
99.449192,107,262.780628
87.854789,94,264.481197
34.80659,90,266.130325
72.372974,72,267.458495
15.398665,14,267.699852
85.764146,82,281.56825
121.792064,133,284.83002
66.615823,67,286.305907
25.74212,80,288.363146
77.464183,66,289.899099
63.460597,53,290.836268
63.137703,56,291.895315
96.105004,97,306.112743
70.278576,61,307.202527
57.082138,64,308.400903
59.86701,47,309.252996
63.690247,53,311.190192
82.984838,72,312.449821
75.556921,65,313.757912
73.965075,77,315.153064
109.366749,119,330.667695
77.125193,67,331.888532
63.612399,57,332.896499
85.163126,74,334.303092
64.862741,60,336.28717
25.825453,63,337.421781
71.033477,54,338.452811
26.988473,25,338.890829
28.759146,36,353.079175
71.553964,60,354.21319
91.87185,80,355.716441
97.873677,100,357.515649
72.348283,74,358.863519
62.125243,70,360.201069
101.417211,114,375.543493
78.242383,77,376.940308
67.215306,57,378.077441
94.232443,92,380.388292
91.793421,88,382.80935
60.53742,53,383.771724
72.172449,72,385.01291
107.571693,94,398.765614
90.608305,79,401.622302
90.90652,82,403.12107
111.466086,99,404.930085
109.364931,124,407.233297
108.724807,116,423.158765
75.2628,73,424.540206
157.7079,186,429.252978
79.191948,66,430.539976
95.790779,83,432.03707
98.835179,95,447.907199
110.678507,119,450.037897
97.248576,100,451.842181
94.048533,94,454.48228
24.322245,80,455.915911
79.650426,64,457.039974
74.1772,63,470.854468
100.636897,95,473.356108
78.742517,61,474.642936
156.229462,198,478.408305
73.540499,82,480.973805
85.824544,72,494.445302
20.830473,74,495.878052
107.727268,95,497.684883
90.731434,74,499.044071
109.76286,94,501.149212
68.309155,64,502.905617
73.029766,60,504.415153
119.937113,130,520.632851
122.728,110,522.653664
108.536002,107,524.600736
105.61726,99,526.581477
81.772592,87,528.258387
69.967863,56,542.757831
95.413306,90,545.546447
96.172693,83,547.202899
80.143646,77,548.595321
88.711972,78,549.997483
109.213673,109,552.09498
92.114489,75,567.158417
82.040223,75,568.507067
84.28221,74,569.863172
160.6447,182,574.055584
42.392812,83,575.603006
29.356543,93,589.662608
58.444065,57,590.702741
83.602078,80,592.423771
150.165278,190,598.265744
73.416555,62,599.370232
96.367638,102,613.511232
92.600768,80,614.99563
45.217672,83,616.640345
129.258955,145,619.465628
135.89435,152,623.496736
80.383061,77,638.699654
25.70539,29,639.278436
109.046799,123,641.568373
86.027949,72,642.938742
85.560806,81,644.565741
120.996262,119,646.753092
119.824219,121,664.427449
14.56341,12,664.72766
109.390796,113,666.92083
16.980548,15,667.214847
94.849235,85,668.901194
52.145574,111,671.178129
104.005691,95,673.00435
106.630125,100,688.415344
114.195141,102,691.744573
74.309298,75,693.136043
43.31392,100,695.056413
85.789125,70,696.464011
94.431097,81,698.01484
85.543074,74,712.191565
114.841588,99,714.126198
83.602365,73,715.548209
12.716004,12,715.798789
107.557634,96,719.735462
100.13522,91,721.824353
146.80162,178,738.184164
93.503474,87,739.899083
116.271707,106,741.944122
89.549921,76,744.346304
112.462256,99,746.279325
99.086663,94,762.120101
129.321727,123,764.496328
68.32294,54,765.564083
123.507563,127,768.166554
122.962891,128,771.59685
108.856896,92,787.636189
16.127458,17,787.95859
122.168522,129,790.469713
102.752699,85,792.14475
84.508553,71,793.488532
103.839628,93,795.282925
91.773117,87,810.588013
90.649266,78,813.293859
71.554865,60,814.448007
92.985732,82,816.096108
12.644306,9,816.274477
82.76247,62,817.471043
90.177007,74,818.886107
85.582604,70,820.256942
108.071757,84,834.705002
85.353122,69,836.034806
83.054585,166,841.428026
83.229372,150,844.640119
98.442365,81,859.070537
114.524199,108,861.153615
90.360829,83,862.860424
123.12422,119,865.109151
81.134248,73,867.743067
135.066657,132,884.485757
94.171568,80,886.050613
93.973077,105,888.21772
12.440011,13,888.46141
91.85419,95,890.282301
139.769326,126,892.718608
94.886164,70,894.950826
180.259135,190,912.751172
156.406535,147,915.61006
125.525024,116,917.768075
114.540437,105,933.801632
88.815893,73,936.306112
74.893638,60,937.395125
118.461978,104,939.426781
94.24934,75,940.819505
85.784648,73,942.200147
183.241632,234,960.809144
77.878089,68,963.262302
82.645026,131,965.79747
109.550467,100,967.715744
126.014999,112,982.927706
108.598127,95,984.793135
167.700768,151,989.616757
134.938306,134,993.159262
71.643797,57,994.283411
96.410975,87,1009.013548
102.039776,90,1010.794622
128.193398,114,1013.108532
160.236,157,1017.537624
105.507521,83,1019.890375
11.698156,8,1020.119085
131.186957,110,1035.82783
116.567673,98,1037.788064
101.737293,91,1039.469142
80.671304,62,1040.620192
94.087003,79,1042.09638
121.468714,109,1058.721555
39.069034,43,1059.490269
89.323331,73,1060.829512
88.336876,73,1062.159133
145.693022,144,1064.84784
181.53975,170,1081.393314
69.666948,60,1082.893609
114.070753,97,1086.13704
115.454647,114,1088.250761
129.743405,112,1090.37322
141.018555,124,1105.153834
48.119738,61,1106.23613
73.515082,69,1107.524291
115.636581,94,1111.343977
88.949709,85,1113.561269
80.775645,68,1114.983456
142.634794,135,1129.278491
98.60186,86,1130.906591
152.802864,150,1133.578509
118.79459,104,1137.094502
183.828294,177,1154.353246
189.463309,173,1157.625177
126.556835,102,1159.51252
23.57462,33,1160.091701
85.200705,74,1161.563807
259.85064,219,1180.24015
89.581645,71,1181.539953
195.88161,214,1185.636702
161.859659,153,1203.200772
113.703475,87,1205.318322
152.373364,130,1207.690418
229.171682,184,1211.053433
162.545459,143,1225.494821
194.97088,170,1230.692842
220.886801,196,1235.385169
217.116247,255,1252.216972
234.927204,218,1258.34414
156.021627,137,1274.471604
127.016149,102,1276.380278
111.126978,104,1278.333421
102.087814,90,1279.953188
145.58163,142,1284.47911
78.183372,78,1299.813515
157.813803,132,1302.23658
117.274812,85,1303.742126
143.235964,138,1306.219564
224.967924,186,1324.985197
103.120948,100,1327.357834
181.000042,169,1330.313588
132.45133,115,1332.416239
134.309604,104,1346.535757
89.141147,72,1352.229074
222.560604,216,1357.498245
106.186201,94,1359.326566
264.978561,247,1376.187348
90.549879,81,1381.880838
358.076507,308,1400.808246
211.071528,178,1403.944822
177.407198,152,1409.676004
184.391004,172,1426.26708
275.032889,228,1430.321168
291.258957,248,1438.527694
171.042547,154,1454.844452
348.235041,284,1460.076385
168.861308,139,1481.307912
87.14079,71,1482.641292
185.294028,146,1485.186284
386.39344,315,1502.957981
148.321596,134,1512.70379
157.72371,116,1514.785509
375.4384,303,1531.896202
231.186143,201,1540.44771
283.038609,303,1557.885322
302.667791,240,1562.274121
23.236337,28,1568.171219
82.146956,68,1569.816652
208.053691,177,1585.204641
270.525419,217,1589.247325
240.109451,193,1597.710906
274.816648,238,1616.735771
209.838876,174,1620.12777
61.910147,56,1621.187742
224.567062,224,1646.144398
179.124845,144,1648.876497
161.704306,127,1651.170585
157.849164,125,1667.327932
320.756779,256,1679.459175
406.941712,344,1699.253434
210.901479,154,1702.094901
501.962933,520,1730.486386
461.152812,340,1759.679901
253.054818,201,1763.463805
48.138371,46,1764.319456
428.136943,339,1793.780201
471.728955,431,1815.24636
94.002107,76,1823.460415
569.485287,512,1846.633336
306.708666,236,1856.262846
400.138191,303,1875.422088
164.977209,136,1886.094525
152.620603,122,1888.211228
154.098763,128,1903.295138
294.255468,232,1908.402056
540.426422,439,1936.92705
698.023434,564,1969.445404
478.216446,380,1998.239262
83.724209,77,1999.69116
516.321397,415,2019.682981
308.74981,257,2033.55698
674.464622,525,2060.207012
85.077682,76,2061.527969
838.532086,689,2109.060148
686.3578,535,2140.321115
577.428382,451,2161.782933
479.408362,366,2174.18206
708.879995,550,2218.4983
153.651862,124,2220.618837
271.104963,207,2224.205215
515.351461,405,2250.936142
205.366731,165,2254.029515
591.145205,457,2281.569963
646.595475,467,2313.415275
735.312619,587,2347.299301
762.682759,549,2380.723406
504.795613,382,2401.382416
906.894679,696,2437.55348
627.623525,488,2470.611695
138.708214,116,2486.389448
302.61924,273,2501.009007
886.839782,694,2549.811929
1163.599122,840,2589.706517
483.783753,361,2620.999094
861.051833,628,2656.984494
656.705611,517,2690.975242
1065.877902,787,2743.743861
379.78402,305,2749.540507
824.455431,608,2784.339576
430.012462,323,2814.414529
617.567024,440,2835.897978
111.60572,88,2848.461698
587.830446,431,2868.864889
578.112209,376,2898.973216
97.097928,76,2900.367021
217.849385,168,2903.265198
1328.673438,972,2969.611865
189.81149,142,2972.635753
20.291718,18,2972.944221
304.839709,230,2989.294787
877.798979,616,3024.330802
641.983472,450,3055.549213
788.317492,537,3088.742391
1379.376994,1000,3153.68254
776.04414,504,3174.965842
283.721251,204,3189.921406
466.886004,319,3208.580909
1076.772343,746,3246.414562
1178.565932,819,3308.634334
253.831749,180,3312.022784
178.179643,135,3327.451681
1458.652152,1000,3380.699474
20.060045,19,3394.328819
57.419394,47,3395.185306
304.615201,196,3398.609508
585.320632,393,3428.562023
308.968528,243,3433.017725
112.971146,85,3434.553421
1478.92759,1000,3499.543214
1092.301834,751,3550.710239
20.319511,17,3551.011207
106.437358,85,3552.514691
766.227438,505,3585.878863
285.347189,195,3600.159636
757.424168,526,3622.692903
1496.761338,1000,3687.632437
672.262348,465,3719.774056
776.990352,520,3753.476597
60.061651,49,3754.333807
321.730394,220,3770.369175
110.328594,98,3772.036398
1057.331572,686,3807.094339
98.674959,72,3821.748625
1406.182374,956,3873.348653
877.649756,579,3918.908842
1479.68129,996,3961.660897
391.43823,263,3989.544563
592.113997,408,4008.920474
751.016078,500,4040.718665
68.647278,64,4041.952275
1522.071201,1000,4106.918928
1559.365232,1000,4172.47968
1555.159438,1000,4226.022428
1470.445475,1000,4291.175851
15.373145,21,4291.756316
553.62274,345,4298.485867
1406.905029,870,4360.305569
1580.330262,1000,4413.008698
1468.886242,927,4478.99686
